TWEET,true_emoji,pred_emoji
*Subway,weary,yum
I bet,sob,weary
RT : i bet the popeyes biscuit did this smh,sob,weary
Starbucks,heart_eyes,yum
I want Starbucks,sob,weary
I bet hoes think they know who I'm talking to.... But they don't,yum,sob
bet you won't tag her,smirk,sob
Craving Starbucks,yum,weary
I can relate,heart_eyes,weary
You bet,weary,wink
You bet! ️,relaxed,blush
Crying,heart_eyes,sob
started the bad streak of going to Starbucks everyday dammit,sob,weary
Screaming,sob,heart_eyes
that's a bet,grin,blush
Quiero un Subway,grin,sob
I regret not stopping at,sob,weary
Someone bring me subway or chipotle,sob,weary
I NEED STARBUCKS,flushed,weary
"dude. that's all i can say is dude, bet not ever try me like that",flushed,sob
Someone bring me subway,blush,weary
Someone bring me Starbucks,sob,weary
someone bring me Starbucks to work,heart_eyes,sob
That's my bae,grin,heart_eyes
ღ Her cuteness makes me cry ღ ღ Bet u smiled ️ ღ (Vine by ),relaxed,heart_eyes
Starbucks,heart_eyes,yum
I bet it was.,blush,wink
Subway for lunch,blush,yum
Thank you,yum,blush
Omfg,heart_eyes,sob
you bet ️,relaxed,wink
love how they play your songs Nintendo at Starbucks,heart_eyes,weary
I want Starbucks,yum,weary
Craving Starbucks,yum,weary
Chris took NyQuil 30 minutes ago &amp; bet me he could stay awake past 12:45am. He passed out 15 minutes later,smirk,heart_eyes
Can't leave subway without no cookies,yum,weary
"Yeah Me Too, They Were Fucking For Rides To Walmart ️",relaxed,weary
Why is Valeria talkin about anal at this STARBUCKS STUDY DATE,weary,sob
"When gam sends you that ""are you up?"" text, you know you're getting Starbucks",heart_eyes,sob
I bet.,sob,smirk
Brotherly Love on BET,flushed,blush
thank you,yum,blush
I bet!,flushed,blush
Got my subway,blush,yum
craving Starbucks so bad rn,sob,weary
Could do with a dominos rn,heart_eyes,weary
Oweeeer my bitch even look phat from the front,smirk,sob
I ain't never eating at McDonalds again,sob,weary
Craving Starbucks,heart_eyes,weary
Someone bring me subway for lunch,sob,weary
